Subject,Cond,MotCheck1,MotCheck2,MotCheck3,MsgType1,MsgType2,ValCheck1,ValCheck2,ValCheck3,age,attbase1.1,attbase1.2,attbase1.3,attbase1.4,attbase1.5,attbase1.6,attbase1.7,attbase2.1,attbase2.2,attbase2.3,attbase2.4,attbase2.5,attbase2.6,attbase2.7,attbase2.8,gen,ovatt1.1,ovatt1.2,ovatt1.3,ovatt1.4,ovatt2.1,ovatt2.2,ovatt2.3,ovatt2.4,tCogLoadCheck,tCogLoadList,tInitialEss,tInst,tInst2,tInst3,tInstCogLoad,tMatchedMessage,tMotCheck1,tMotCheck2,tMotCheck3,tMsgType1,tMsgType2,tValCheck1,tValCheck2,tValCheck3,tage,tattbase1.1,tattbase1.2,tattbase1.3,tattbase1.4,tattbase1.5,tattbase1.6,tattbase1.7,tattbase2.1,tattbase2.2,tattbase2.3,tattbase2.4,tattbase2.5,tattbase2.6,tattbase2.7,tattbase2.8,tgen,tovatt1.1,tovatt1.2,tovatt1.3,tovatt1.4,tovatt2.1,tovatt2.2,tovatt2.3,tovatt2.4,Order Number
10,2,5,7,6,6,6,g,4,3,23,11,11,11,11,11,9,11,8,9,9,6,6,6,6,6,1,11,11,11,11,7,4,7,7,60059,120062,66940,11001,7483,1551,4422,93057,6250,7458,6041,8739,5817,12400,7190,19189,4051,968,984,836,840,1322,1382,1931,1636,1499,2273,1882,899,852,2290,1246,2554,2101,2568,1050,1536,2029,2238,2460,1999,23
2,2,6,3,4,6,5,8,2,5,21,10,9,9,11,10,6,10,7,7,6,6,6,6,6,6,1,11,9,10,11,8,4,7,7,60094,120068,87142,9961,8198,1763,5150,63357,11686,16996,4063,9789,6189,20364,8494,6209,14754,2376,2476,2729,1296,1401,5341,5626,2889,1928,2393,6043,1980,2531,1130,1317,3667,3496,5276,1287,2472,8122,8743,2558,5777,29
11,3,8,6,5,6,5,2,2,2,22,10,10,9,10,10,10,9,10,9,9,9,9,9,9,9,1,10,10,10,10,6,4,6,7,60081,120022,88771,6234,6912,1626,3482,87886,6029,4863,5798,7667,5100,19323,5915,4081,12531,765,1308,2534,905,1672,760,1594,1858,3011,1421,2067,1531,1337,2626,1240,1395,2930,1140,1305,1043,3798,3298,1818,2641,9
19,3,7,8,7,5,6,2,2,2,22,11,11,11,11,11,11,11,11,11,11,10,9,9,9,9,1,11,11,11,11,9,8,8,5,60080,120042,71032,6099,7004,1432,3043,101477,7402,4183,8300,29414,2774,6167,1689,11365,5730,1209,1627,1169,1030,845,793,768,1382,861,784,3062,1489,1884,3353,842,4072,2700,1019,811,1014,4770,5282,2279,5097,37
35,3,6,6,7,5,6,2,2,6,23,9,7,7,9,8,6,7,6,6,6,6,6,6,6,6,2,9,7,8,9,8,6,7,7,60070,120008,63954,15160,6146,1435,3551,63226,3509,3765,2209,7875,2599,12246,5803,8439,3339,1069,2712,2314,3774,2636,4399,4206,1492,1092,3149,1653,842,1604,2449,1694,2214,4462,4726,1944,3757,4923,3223,5730,3307,42
3,3,5,2,5,5,a,5,3,5,21,9,6,6,7,6,6,6,6,6,6,6,6,6,6,6,1,9,8,9,8,6,6,6,6,60011,120078,62955,10911,8762,1384,3186,65832,9573,4763,16431,11298,9420,12653,5604,5122,5905,3597,3605,3240,3124,2325,2030,2297,4565,1794,2422,1977,1639,2188,1655,2183,3607,7113,3324,3201,2874,1786,3928,2102,3295,17
27,3,7,8,8,2,6,8,2,2,27,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,11,11,11,11,7,8,8,7,60083,120043,65640,6022,7091,1390,1823,60402,1889,1609,2653,2638,1608,3529,4685,2038,3189,418,701,452,944,395,382,545,552,955,476,439,374,405,395,377,1109,2219,1123,821,601,3327,1203,1466,779,6
20,4,5,3,5,6,4,2,2,3,23,9,9,9,11,9,6,8,6,7,6,6,6,6,6,6,2,11,9,11,11,6,6,6,6,60022,120046,63312,8865,8418,2092,8369,62428,4322,7433,2747,18034,2888,14873,2038,7677,12651,1965,1421,1482,1793,1640,2244,2275,2466,2170,1726,1422,1793,974,2459,1592,1311,3415,2211,1952,1368,10717,5414,2088,2716,35
28,4,8,8,8,7,7,2,2,3,23,11,9,9,11,11,8,8,8,7,7,7,8,8,7,9,2,10,9,10,11,6,5,5,4,60003,120063,61291,5386,7665,1246,3209,62323,1661,2110,3243,2965,3802,5215,1665,4852,2986,1032,1298,1404,2189,1045,2111,2117,1998,2579,1803,2080,3779,2152,1484,1529,1242,1702,655,1409,1549,3061,2496,1304,1222,8
36,4,7,7,7,6,3,2,2,8,22,10,9,10,9,9,7,9,7,9,9,6,6,6,6,9,1,9,9,9,9,4,3,5,1,60076,120004,62392,8834,6168,1215,1733,62946,1844,881,860,3279,1115,5450,1811,1991,2623,748,577,842,721,697,1627,1104,1283,972,1115,1487,1458,1442,1487,1982,1728,3389,1081,754,878,10025,1025,2122,1031,26
12,4,7,7,4,2,5,4,4,2,23,11,11,11,11,11,9,11,11,11,11,11,11,11,11,11,1,11,11,11,11,9,8,8,7,60075,120079,60710,35990,5738,1671,5612,62056,4824,4014,5949,2523,6502,8426,3200,4315,2406,2238,1347,1124,1838,1684,3670,1780,1310,1380,1278,1045,1084,541,658,499,12729,2309,1562,959,1161,3461,2507,1139,2339,11
4,4,8,8,8,6,6,5,1,5,24,10,10,6,10,6,7,7,6,8,8,6,6,6,8,8,2,10,6,10,10,6,4,4,3,60101,120083,67754,6015,6703,1282,3086,67923,5095,3386,3454,8784,3482,32673,7315,4127,4252,4542,3221,3407,1921,8423,3850,7218,4333,1623,2109,1390,1719,3645,1524,3801,1798,4299,2860,4142,1376,2971,4168,2907,1996,21
